input,given,family,orcid,name,identifier,department,degree,start,end
Jeffrey Becker,Jeffrey,Becker,0000-0002-9799-7243,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0002-0061-1392,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0001-7645-2466,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0003-0467-5913,,,,,,
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,The University of North Carolina at Chapel Hill,2331,Classics,Ph.D.,2003,2007
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,University of North Carolina at Chapel Hill,2331,Classics,M.A.,2000,2003
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,Franklin and Marshall College,4400,Classics,"A.B., Classical archaeology and Latin",1995,1999
Jeffrey Becker,Jeffrey,Becker,0009-0007-6442-9462,,,,,,
Leslie Engel,Leslie,Engel,0000-0002-9774-238X,,,,,,
Michael A. Gilchrist,Michael,Gilchrist,0000-0002-6936-0771,,,,,,
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University of Sheffield,7315,Mechanical Engineering,DEng,,2008
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University of Sheffield,7315,Mechanical & Process Engineering,PhD,1988,1991
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University College Galway,8799,Mechanical Engineering,MEngSc,1986,1988
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,University College Galway,8799,Mechanical Engineering,BE (Hons),1982,1986
Michael A. Gilchrist,Michael,Gilchrist,0000-0001-9762-1951,,,,,,
Jennifer R. Graff,Jennifer,Graff,0000-0001-8261-3158,,,,,,
Jennifer R. Graff,Jennifer,Graff,0000-0002-2931-9547,,,,,,
Marc Kramer,marc,kramer,0000-0002-8022-4527,,,,,,
Marc Kramer,Marc M.,Kramer,0000-0003-2636-8658,,,,,,
Louis Santiago,Louis,Santiago,0000-0002-6943-7177,,,,,,
Louis Santiago,Louis,Santiago,0000-0001-5994-6122,,,,,,
Jeffrey S. Shima,Jeffrey,Shima,0000-0001-5770-4859,University of California Santa Barbara,8786,"Ecology, Evolution, and Marine Biology",PhD,1994,1999
Jeffrey S. Shima,Jeffrey,Shima,0000-0001-5770-4859,University of California Berkeley,1438,Integrative Biology,AB,1990,1994
Lisa M. Angeloni,Lisa,Angeloni,0000-0002-2385-0599,,,,,,
Katherine Colburn,Katherine,Colburn,0000-0002-8263-7376,,,,,,
Katherine Colburn,Katherine,Colburn,0009-0004-0441-6000,Texas A&M University – Corpus Christi,https://ror.org/01mrfdz82,Kinesiology,BS in Kinesiology,2020,2024
James Michael Daniels,James,Daniels,0000-0001-8600-5715,,,,,,
James Michael Daniels,James,Daniels,0000-0002-1160-7073,,,,,,
James Michael Daniels,James,Daniels,0000-0002-6737-6622,,,,,,
James Michael Daniels,James,Daniels,0000-0002-0771-4730,,,,,,
James Michael Daniels,James,Daniels,0000-0002-9066-8631,,,,,,
James Michael Daniels,James,Daniels,0009-0000-6025-6751,,,,,,
James Michael Daniels,James,Daniels,0000-0002-5933-8423,Worshipful Society of Apothecaries,https://ror.org/04t4q4w41,,Diploma in the Medical Care of Catastrophes,2022,2022
James Michael Daniels,James,Daniels,0000-0002-5933-8423,University of Exeter,https://ror.org/03yghzc09,,"Bachelor of Medicine, Bachelor of Surgery",2014,2019
James Michael Daniels,James,Daniels,0009-0006-5760-0471,,,,,,
James Michael Daniels,James,Daniels,0009-0007-8473-4413,,,,,,
James Michael Daniels,James,Daniels,0009-0000-6648-0754,,,,,,
James Michael Daniels,James,Daniels,0000-0003-3360-6175,,,,,,
James Michael Daniels,James Percy,Daniels,0000-0002-2401-2474,"School of Medicine, University of Missouri",http://dx.doi.org/10.13039/100018719,,MD,2017,2021
James Michael Daniels,James Percy,Daniels,0000-0002-2401-2474,"University of California, Riverside",https://ror.org/03nawhv43,,BA,2008,2013
James Michael Daniels,"John Daniels, John J. Daniels, John James Daniels",Daniels,0009-0007-0380-2366,,,,,,
Kristin Gade,Kristin,Gade,0000-0003-3564-9494,,,,,,
Jeffrey Goldman,Jeffrey,Goldman,0009-0004-7094-9964,,,,,,
Jason Rice,Jason,Rice,0000-0003-2686-2445,,,,,,
Jason Rice,Jason,Rice,0000-0002-1903-5997,Loyola University Chicago Stritch School of Medicine,12248,,MD,2006,2010
Jason Rice,Jason,Rice,0000-0002-1903-5997,University of Illinois System,8101,,BA,1999,2003
Jeremy Schwartz,Jeremy,Schwartz,0000-0002-5253-4608,,,,,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0002-3653-2557,University of Chicago,,Committee on Social Thought,Ph.D.,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-4806-193X,,,,,,
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-0139-2600,University of Rochester School of Medicine and Dentistry,12299,,,,2006
Jeremy Schwartz,Jeremy,Schwartz,0000-0003-0139-2600,Cornell University,5922,,,,2000
Jeremy Schwartz,Jeremy,Speed-Schwartz,0009-0004-3839-2860,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-7013-8679,Texas A&M Engineering,122656,Educational Psychology,Ph.D.,2008,2013
Stacey L. Smith,STACEY,SMITH,0000-0003-2010-4459,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0002-0147-6444,Texas Woman's University,2910,Counseling Psychology,Doctor of Philosophy,2007,2013
Stacey L. Smith,Stacey,Smith,0000-0003-0139-338X,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0002-2425-1950,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0002-7438-9827,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-9224-7219,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-5588-2328,,,,,,
Stacey L. Smith,Stacey,Smith,0009-0002-0069-3831,,,,,,
Stacey L. Smith,Stacey,Smith,0000-0001-5837-0539,,,,,,
Stacey L. Smith,Stacey,Smith,0009-0001-4248-3958,,,,,,
Stacey L. Smith,Stacey,Smith?,0000-0002-6529-3321,McMaster University,,,Ph.D.,1995,2001
Stacey L. Smith,Stacey,Smith?,0000-0002-6529-3321,Macquarie University,,,BSc (HONS),1991,1995
Stacey L. Smith,Stacey,Glass-Smith,0000-0002-8813-4120,,,,,,
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,University of North Carolina at Chapel Hill,2331,Library and Information Science,MSLS,1987,1989
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,University of North Carolina at Chapel Hill,2331,Psychology,none,1984,1985
Stacey L. Smith,Stacey,Kimmel-Smith,0000-0002-4520-5873,Purdue University,311308,Psychology,BA,1980,1984
Stacey L. Smith,Stacey,Mills-Smith,0009-0009-3941-4036,,,,,,
Stacey L. Smith,Stacey Burkhalter,Smith,0009-0003-8318-0114,,,,,,
Christina Underwood,Christina Rye,Underwood,0000-0002-2333-2177,Technical University of Denmark,,Department of Chemistry,Doctor of Philosophy (Ph.D.),2008,2013
Christina Underwood,Christina Rye,Underwood,0000-0002-2333-2177,Technical University of Denmark,,,"Master of Engineering, Biotechnology",2002,2007
Erin Boyd,Erin,Boyd,0000-0002-2230-2419,,,,,,
Erin Boyd,Erin,Boyd,0000-0002-3611-7505,,,,,,
Martha O. Burford,Martha ,Burford,0009-0002-1731-7226,,,,,,
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,University of California Santa Cruz,8787,Ecology and Evolutionary Biology,PhD,2001,2007
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,San Francisco State University,7147,Biology,MA,1999,2001
Martha O. Burford,Martha,Burford Reiskind,0000-0001-6826-9215,University of California Berkeley,1438,Integrative Biology,BA,1993,1995
Carolyn Cruz,carolyn,de la cruz,0000-0003-3424-9747,,,,,,
Carolyn Cruz,jossely carolyn,colombino de la cruz,0000-0001-9103-2558,,,,,,
Lia M. Gaertner,Lia,Gaertner,0009-0002-6512-017X,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-2286-6046,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-3026-562X,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-5433-6840,,,,,,
Daniel R. Hahn,Daniel ,Hahn,0000-0002-2783-6460,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0001-6356-3976,,,,,,
Daniel R. Hahn,Daniel,Hahn,0009-0009-2844-5099,,,,,,
Daniel R. Hahn,Daniel,Hahn,0009-0007-0115-6049,,,,,,
Daniel R. Hahn,Daniel ,Hahn,0000-0003-0165-7488,,,,,,
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Technical University Munich,grid.6936.a,"Biomechanics, Human Movement & Exercise Sciences",Habilitation,2008,2014
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,University of Queensland,1974,Sensorimotor Neuroscience,Postdoctoral Researcher,2010,2011
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Technical University Munich,grid.6936.a,Biomechanics in Sports,PhD ,2002,2008
Daniel R. Hahn,Daniel,Hahn,0000-0002-9401-5478,Technical University Munich,grid.6936.a,Faculty of Sport Science,Diploma (MSc) in Sport Science,1996,2001
Daniel R. Hahn,Daniel Luca,Hahn,0009-0002-4306-6942,Leipzig University of Applied Sciences,https://ror.org/03xgcq477,Industrial Engineering,Master of Science,2022,2025
Rebecca Johnson,Rebecca,Johnson,0000-0002-3564-5189,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-3346-3402,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1100-3066,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7085-4405,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-0749-9652,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1105-3565,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-8301-8342,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-3207-4402,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-6360-4499,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-6502-1660,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0000-0447-4965,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-2548-0755,,,,,,
Rebecca Johnson,Rebecca ,Johnson,0000-0001-8079-7029,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5114-4448,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2896-9393,,,,,,
Rebecca Johnson,Rebecca ,Johnson,0000-0002-9847-1286,Deakin University,grid.1021.2,,Masters of Health Promotion,,2018
Rebecca Johnson,Rebecca ,Johnson,0000-0002-9847-1286,University of Queensland,grid.1003.2,,Bachelor of Applied Science in Human Movement Studies with Education,,2007
Rebecca Johnson,Rebecca,Johnson,0000-0001-8988-3089,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-8380-528X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-1222-9019,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-0606-2929,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5823-6011,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-7195-3851,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-0840-1541,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-2510-9796,University of York,8748,Social Work and Social Policy,Masters of Public Administration in International Development,2013,2016
Rebecca Johnson,Rebecca,Johnson,0000-0002-2510-9796,University of Liverpool,4591,Geography,International Development,2005,2008
Rebecca Johnson,Rebecca,Johnson,0000-0003-4031-1762,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4158-532X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-6040-8302,University of Kansas,,Communication Studies,Doctor of Philosophy,2016,
Rebecca Johnson,Rebecca,Johnson,0000-0002-6040-8302,Northern Illinois University,,Communication Studies,Master of Arts,2014,2016
Rebecca Johnson,Rebecca,Johnson,0000-0002-6040-8302,Christopher Newport University,,Communication Studies ,Bachelor of Arts ,2010,2014
Rebecca Johnson,Rebecca ,Johnson ,0000-0001-7619-9659,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0006-2109-1150,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4382-6828,Hope College,https://ror.org/03chnr738,Biology,B.A. in Biology,2015,2019
Rebecca Johnson,Rebecca,Johnson,0000-0002-4382-6828,Hope College,https://ror.org/03chnr738,Chemistry,ACS Certified B.S. in Chemistry with Biochemistry Emphasis,2015,2019
Rebecca Johnson,Rebecca,Johnson,0000-0001-6315-278X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0004-3844-443X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5938-012X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0000-7611-773X,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5104-2919,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0009-9295-3100,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0002-8652-9003,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2475-6622,,,,,,
Rebecca Johnson,Rebecca ,Johnson,0009-0000-0060-1410,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-4839-6310,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1006-7586,Imperial College London,,,Life Sciences Research ,2014,
Rebecca Johnson,Rebecca,Johnson,0000-0003-1006-7586,Imperial College London,,,MRes in Biomedical Research (Bacterial Pathogenesis),2013,2014
Rebecca Johnson,Rebecca,Johnson,0000-0003-1006-7586,University of York,,,BSc Biology,2010,2013
Rebecca Johnson,Rebecca,Johnson,0009-0006-9225-5538,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-7560-4672,The University of Texas at Dallas,12335,,PhD Chemistry,2020,
Rebecca Johnson,Rebecca,Johnson,0000-0002-7560-4672,The University of Texas at Dallas,12335,,Bachelors in Chemistry,,2020
Rebecca Johnson,Rebecca,Johnson,0000-0002-8684-9202,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-2249-2643,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0005-5127-3935,,,,,,
Rebecca Johnson,Rebecca,Johnson,0009-0009-4107-5328,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-6592-9089,University of Georgia,http://dx.doi.org/10.13039/100007699,College of Engineering,BS Biological Engineering,2018,2022
Rebecca Johnson,Rebecca,Johnson,0000-0002-4285-9177,The Pennsylvania State University - University Park Campus,311285,"Molecular, cellular and integrative biosciences",Doctor of Philosophy (PhD),2012,2021
Rebecca Johnson,Rebecca,Johnson,0000-0002-4285-9177,Cornell University,grid.5386.8,"Entomology, Microbiology",Bachelor of Science (BS),2008,2012
Rebecca Johnson,Rebecca,Johnson,0000-0001-7359-6595,University of Strathclyde,3527,Psychology ,MSc Research Methods in Psychology ,2018,2019
Rebecca Johnson,Rebecca,Johnson,0000-0001-7359-6595,University of Strathclyde,3527,Psychology ,BA Hons Psychology - First Class Honours ,2014,2018
Rebecca Johnson,Rebecca,Johnson,0000-0002-1920-9774,Mayo Clinic Minnesota,4352,Anesthesiology,Regional Anesthesia Fellowship,2010,2011
Rebecca Johnson,Rebecca,Johnson,0000-0002-0728-5374,University of Michigan,1259,,Doctor of the Science of Law,,2000
Rebecca Johnson,Rebecca,Johnson,0000-0002-0728-5374,University of Michigan,1259,,Master of Laws,,1995
Rebecca Johnson,Rebecca,Johnson,0000-0002-0728-5374,University of Alberta,3158,,Bachelor of Laws,,1991
Rebecca Johnson,Rebecca,Johnson,0000-0002-0728-5374,University of Alberta,3158,,Master of Business Administration ,,1990
Rebecca Johnson,Rebecca,Johnson,0000-0002-0728-5374,University of Calgary,2129,,Bachelor of Music,,1985
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,University of Warwick,2707,Division of Health Sciences,PhD,2010,2013
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,University of Warwick,2707,,MPH,2007,2008
Rebecca Johnson,Rebecca,Johnson,0000-0002-2847-8298,University of Minnesota Duluth,14713,Sociology,BA Sociology,2002,2006
Rebecca Johnson,Rebecca,Johnson,0000-0001-7253-7454,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0001-8254-9029,,,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0002-5281-0924,University of North Texas,https://ror.org/00v97ad02,Department of Educational Psychology,"Ph.D./Ed Psych, Gifted and Talented Education",,2023
Rebecca Johnson,Rebecca,Johnson,0000-0002-5281-0924,University of Georgia,https://ror.org/00te3t702,Department of Educational Psychology,"Ed.S./Ed Pscyh, Gifted and Creative Education",,2017
Rebecca Johnson,Rebecca,Johnson,0000-0002-5281-0924,University of West Florida,https://ror.org/002w4zy91,Education,M.Ed./Curriculum and Instruction,,2015
Rebecca Johnson,Rebecca,Johnson,0000-0003-3035-2827,University of Sydney,4334,,,,
Rebecca Johnson,Rebecca,Johnson,0000-0003-3035-2827,La Trobe University,2080,,,1995,2000
Rebecca Johnson,Rebecca May,Johnson,0000-0001-5529-1261,University College London,4919,German,Ph. D Reading Barbara Köhler's Niemands Frau as a Radical Poetic Response to Homer's Odyssey,2010,2016
Rebecca Johnson,Rebecca May,Johnson,0000-0001-5529-1261,University of Oxford,6396,Modern and Medieval Languages,MSt. Women's Studies,2008,2009
Rebecca Johnson,Rebecca May,Johnson,0000-0001-5529-1261,University College London,4919,German,BA German Studies,2004,2008
Rebecca Johnson,Rebecca McKay,Johnson,0000-0001-5697-4638,Louisiana State University,5779,School of Library & Information Science,MLIS,1991,1992
Rebecca Johnson,Rebecca McKay,Johnson,0000-0001-5697-4638,University of Kentucky,4530,Patterson School of Diplomacy & International Commerce,MA,1987,1989
Rebecca Johnson,Rebecca McKay,Johnson,0000-0001-5697-4638,Centre College of Kentucky,,French,BA,1983,1987
Rebecca Johnson,Rebecca Mary,Johnson,0009-0007-2170-2553,,,,,,
Rebecca Johnson,Rebecca L,Johnson,0000-0002-8771-6161,,,,,,
Rebecca Johnson,Rebecca Kate,Johnson,0009-0006-2417-690X,,,,,,
Rebecca Johnson,Rebecca L,Johnson,0009-0002-2247-5990,,,,,,
Rebecca Johnson,Rebecca M,Johnson,0000-0003-0517-5769,Loyola University Chicago,https://ror.org/04b6x2g63,Bioethics and Health Policy,DBe,2023,
Rebecca Johnson,Rebecca M,Johnson,0000-0003-0517-5769,Drexel University,https://ror.org/04bdffz58,Clinical Research Organization and Management,MS,2021,2023
Rebecca Johnson,Rebecca M,Johnson,0000-0003-0517-5769,The University of Texas at Arlington,https://ror.org/019kgqr73,Psychology,BA,2000,2003
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,The University of Auckland,1415,,Doctor of Philosophy,,2020
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,The University of Auckland,1415,,PGDipSci,,2015
Rebecca Johnson,Rebecca. H.,Johnson,0000-0001-9473-2621,The University of Auckland,1415,,Master of Science,,2015
Rebecca Johnson,Rebecca L.,Johnson,0000-0001-7321-0744,,,,,,
Rebecca Johnson,Rebecca A,Johnson,0009-0001-2463-3510,,,,,,
Rebecca Johnson,Rebecca Anna,Johnson,0009-0006-6411-9635,,,,,,
Rebecca Johnson,Rebecca Jean,Johnson,0000-0002-0084-4727,University of Kansas,4202,,PhD Clinical Child Psychology,,
Rebecca Johnson,Rebecca Jean,Johnson,0000-0002-0084-4727,North Dakota State University,3323,Department of Psychology,MS Clinical Psychology,,
Rebecca Johnson,Rebecca,Johnson Bista,0000-0003-3375-7053,,,,,,
Rebecca Johnson,Rebecca,Harper-Johnson,0000-0003-3310-2364,,,,,,
Rebecca Johnson,Rebecca,Johnson Beller,0000-0002-9742-7806,,,,,,
Rebecca Johnson,Stephanie Rebecca Howerton,Johnson,0009-0008-4325-615X,,,,,,
Sarah Kalish,Sarah,Kalish,0009-0001-1277-5124,,,,,,
Regina Linville,Regina,Linville,0000-0003-3732-5944,,,,,,
Ina Park,InA,PARK,0000-0003-0266-5068,,,,,,
Ina Park,Ina,PARK,0009-0008-3729-6091,,,,,,
Ina Park,Ina,Park,0009-0008-7558-7092,,,,,,
Ina Park,Ina,Park,0000-0003-0161-711X,Pohang University of Science and Technology,,Chemistry,Ph. D.,,2024
J. A. Pearson,J. Stephen,Pearson,0000-0002-6252-2432,,,,,,
J. A. Pearson,J Michael,Pearson,0000-0002-1000-4107,The University of Texas at Austin,12330,Mathematics,PhD,1989,
J. A. Pearson,Scott J.,Pearson,0000-0003-3676-2050,,,,,,
Sarah Jane Rollin,Sarah,GUILLAUD-ROLLIN,0009-0001-6283-7709,,,,,,
Julie L. Smith,Julie,Smith,0000-0001-5588-3638,,,,,,
Julie L. Smith,JULIE,SMITH,0000-0001-7163-6629,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-5059-9918,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-0065-5165,,,,,,
Julie L. Smith,Julie,Smith,0000-0001-9933-3873,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-0392-1174,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-1412-7443,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-4497-4387,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-0874-1095,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-2556-9020,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-2804-0285,,,,,,
Julie L. Smith,Julie,Smith,0000-0001-6037-9428,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-1196-7386,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-0429-7900,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-3622-5469,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-4716-9685,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-3136-7118,,,,,,
Julie L. Smith,Julie,smith,0000-0003-4471-7970,,,,,,
Julie L. Smith,Julie,Smith,0009-0005-1725-6314,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-1725-5443,University of Oxford,6396,,DPhil/Politics,1993,1996
Julie L. Smith,Julie,Smith,0000-0002-1725-5443,University of Oxford,6396,,Politics/MPhil,1991,1993
Julie L. Smith,Julie,Smith,0000-0002-1725-5443,University of Oxford,6396,,PPE/MA,1988,1991
Julie L. Smith,Julie,Smith,0000-0002-5549-0022,,,,,,
Julie L. Smith,Julie,Smith,0009-0002-2001-4250,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-4870-968X,,,,,,
Julie L. Smith,Julie,Smith,0000-0001-8569-1303,,,,,,
Julie L. Smith,Julie,Smith,0009-0004-8654-8575,,,,,,
Julie L. Smith,Julie,Smith,0009-0009-0441-3682,,,,,,
Julie L. Smith,Julie,Smith,0000-0002-2927-9514,University of the West of Scotland,,School of Education,PG Certificate Teaching and Learning in Higher Education,2014,2016
Julie L. Smith,Julie,Smith,0000-0002-2927-9514,University of Glasgow,3526,School of Education,Psychology,2008,2013
Julie L. Smith,Julie,Smith,0000-0002-2927-9514,Edinburgh Napier University,3121,Psychology,BA (Hons) Psychology,2003,2007
Julie L. Smith,Julie,Smith,0000-0003-1135-1191,University of Copenhagen,https://ror.org/035b05819,Julie Smith,PhD ,2006,2012
Julie L. Smith,Julie,Smith,0000-0003-1135-1191,Copenhagen University: Royal Veterinary and Agricultural College,,,Doctor of Veterinary Medicine (DVM),1996,2003
Julie L. Smith,Julie,Smith,0009-0005-9963-5456,Columbia University,https://ror.org/00hj8s172,Biobehavioral Sciences,Ph.D. Communication Sciences and Disorders,2018,2024
Julie L. Smith,Julie,Smith,0009-0005-9963-5456,Columbia University,https://ror.org/00hj8s172,Biobehavioral Sciences,M.S. CCC-SLP,2015,2017
Julie L. Smith,Julie,Smith,0009-0005-9862-5627,,,,,,
Julie L. Smith,Julie,Smith,0000-0003-2347-2070,,,,,,
Julie L. Smith,Julie,Smith,0009-0001-7392-2319,Heriot-Watt University,https://ror.org/04mghma93,Interior Architecture & Design,MA,2019,2020
Julie L. Smith,Julie,Smith,0009-0001-7392-2319,Sheffield Hallam University,https://ror.org/019wt1929,Design: Jewellery & Metalwork,BA Hons,1998,2001
Julie L. Smith,Julie,Winter-Smith,0000-0001-5782-9176,,,,,,
Julie L. Smith,Julie,Bajic Smith,0009-0001-3989-5433,,,,,,
Julie L. Smith,Julie,Cremeans-Smith,0000-0002-2123-4637,,,,,,
Julie L. Smith,Julie,Smith-Yliniemi,0000-0001-7988-9751,,,,,,
Julie L. Smith,Julie,Smith-Gagen,0000-0001-9796-3409,,,,,,
Julie L. Smith,Julie Ann,Smith,0000-0002-4175-0823,,,,,,
Julie L. Smith,Sanne Julie,Smith,0000-0002-3487-0528,TU Delft,,Faculty of Civil Engineering,MSc,2018,2020
Julie L. Smith,Sanne Julie,Smith,0000-0002-3487-0528,University of Groningen,,Faculty of Science and Engineering,BSc,2015,2018
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Australian National University,2219,Economics,PhD,1995,2002
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Australian National University,2219,,Bachelor of Asian Studies,1976,1982
Julie L. Smith,Julie Patricia,Smith,0000-0001-9796-7629,Australian National University,2219,,Bachelor of Economics,1976,1982
Julie L. Smith,Julie Smith,Julie Smith,0009-0009-0349-2243,,,,,,
Julie L. Smith,Julie Sian,Smith-Lewis,0009-0005-0845-5100,University of Birmingham,https://ror.org/03angcq70,,Doctorate in Applied Educational & Child Psychology,2020,2023
Julie L. Smith,Julie C.,"Fanburg-Smith, M.D.",0000-0002-1395-4730,,,,,,
Julie L. Smith,Julie C.,"Fanburg-Smith, M.D.",0000-0002-5404-096X,,,,,,
Eric A. Collisson,Eric,Collisson,0000-0002-2829-355X,,,,,,
Eric A. Collisson,Eric,Collisson,0000-0001-8037-9388,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0001-5695-0388,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0002-7656-4481,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0003-0943-3622,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0002-0278-0632,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0003-0508-4728,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0002-9503-5075,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0001-5769-7695,,,,,,
Ryan M. Houston,Ryan,Houston,0000-0001-9494-2514,,,,,,
Ryan M. Houston,Ryan,Houston,0009-0002-8049-9560,,,,,,
Ryan M. Houston,Ryan,Houston-Dial,0009-0007-5106-3166,,,,,,
Andy Johnson,Andy,Johnson,0000-0001-6780-1492,,,,,,
Andy Johnson,Andy,Johnson,0009-0007-1187-0529,,,,,,
Andy Johnson,Andy,Johnson,0000-0003-0846-7396,University of Notre Dame,6111,Psychology,"MA, Ph.D.",1984,1989
Andy Johnson,Andy,Johnson,0000-0003-0846-7396,Drury University,7470,Psychology,A.B.,1979,1983
Andy Johnson,Andy Lain,Johnson,0009-0008-7022-847X,,,,,,
Andy Johnson,"Andy, Andrew",Johnson,0009-0008-4805-6341,,,,,,
Andy Johnson,Andrew (Andy),Johnson,0009-0007-5951-1293,,,,,,
Betty Y. Lin,Betty,Lin,0000-0001-7261-7796,,,,,,
Betty Y. Lin,Betty Fwei-chien,Lin,0000-0002-9585-6842,,,,,,
Tina Liu,Tina,liu,0000-0003-1976-9808,Boston University,1846,Anthropology,Post-doc,2016,
Tina Liu,Tina,liu,0000-0003-1976-9808,Harvard University,1812,Anthropology,visiting scholar,2013,2016
