input,given,family,orcid,other-names,employment,education,works,peer-reviews,funding,emails,other_names,Total,journal
Gregory Battersby,Gregory,Battersby,Not Found,,,,,,,,,0,
Jeffrey Becker,Jeffrey,Becker,0000-0002-9799-7243,0,0,0,0,0,0,,,0,
Jeffrey Becker,Jeffrey,Becker,0000-0002-0061-1392,0,1,0,0,0,0,,,1,
Jeffrey Becker,Jeffrey,Becker,0000-0001-7645-2466,0,0,0,27,0,0,,,27,Molecular Cancer Therapeutics
Jeffrey Becker,Jeffrey,Becker,0000-0003-0467-5913,0,0,0,2,1,0,,,3,G3&amp;#58; Genes|Genomes|Genetics
Jeffrey Becker,Jeffrey,Becker,0000-0001-8759-3774,0,12,3,22,0,0,1,,35,Smarthistory.org
Jeffrey Becker,Jeffrey,Becker,0009-0007-6442-9462,0,1,0,2,3,0,,,6,Intermetallics
Tegan Paige Churcher,Tegan Paige,Churcher,Not Found,,,,,,,,,0,
Raj Denhoy,Raj,Denhoy,Not Found,,,,,,,,,0,
Gretchen Elmquist,Gretchen,Elmquist,Not Found,,,,,,,,,0,
Leslie Engel,Leslie,Engel,0000-0002-9774-238X,0,0,0,0,0,0,,,0,
Lorien A. Ferris,Lorien A.,Ferris,Not Found,,,,,,,,,0,
Michael A. Gilchrist,Michael,Gilchrist,0000-0002-6936-0771,0,1,0,34,4,0,,,39,Journal of Theoretical Biology
Michael A. Gilchrist,Michael,Gilchrist,0000-0003-1765-429X,1,4,4,171,0,0,,,175,Computer Methods in Biomechanics and Biomedical Engineering
Michael A. Gilchrist,Michael,Gilchrist,0000-0001-9762-1951,0,0,0,0,0,0,,,0,
Jennifer R. Graff,Jennifer,Graff,0000-0001-8261-3158,0,0,0,0,0,0,,,0,
Jennifer R. Graff,Jennifer,Graff,0000-0002-2931-9547,0,1,0,0,0,0,,,1,
Marc Kramer,marc,kramer,0000-0002-8022-4527,0,0,0,0,0,0,,,0,
Marc Kramer,Marc M.,Kramer,0000-0003-2636-8658,0,1,0,10,0,0,,,11,Journal of Pension Economics and Finance
Sharon London,Sharon,London,Not Found,,,,,,,,,0,
Louis Santiago,Louis,Santiago,0000-0002-6943-7177,0,0,0,0,0,0,,,0,
Louis Santiago,Louis,Santiago,0000-0001-5994-6122,0,1,0,127,172,0,,,300,Tree Physiology
Sam Shiley,Sam,Shiley,Not Found,,,,,,,,,0,
Jeffrey S. Shima,Jeffrey,Shima,0000-0001-5770-4859,3,1,2,58,4,3,,,66,Ecology
Laurie Tucker,Laurie,Tucker,Not Found,,,,,,,,,0,
