input,given,family,orcid,title,funder,identifier,award,start,end
"Johnson,R.",Brian R.,Johnson,0000-0001-5754-3223,Mind Matters Concussion Challenge,National Collegiate Athletic Association,http://dx.doi.org/10.13039/100012676,,2016,2019
"Johnson,R.",Brian R.,Johnson,0000-0001-5754-3223,"NCAA-DoD Grand Alliance: Concussion Assessment, Research and Education (CARE) Consortium - Clinical Study Core",National Collegiate Athletic Association,http://dx.doi.org/10.13039/100012676,,2011,2015
"Johnson,R.",Brian R.,Johnson,0000-0001-5754-3223,"NCAA-DoD Grand Alliance: Concussion Assessment, Research and Education (CARE) Consortium - Advanced Research Core",National Collegiate Athletic Association,http://dx.doi.org/10.13039/100012676,,2013,2015
"Johnson,R.",Brian R.,Johnson,0000-0001-5754-3223,Understanding the Cognitive Effects of Sleep Debts - An Ecologically Valid Assessment Using Fitbit Sleep Analytics,Office of Naval Research,http://dx.doi.org/10.13039/100000006,,,
"Johnson,R.",Brian R.,Johnson,0000-0001-5754-3223,The Effects of Sub-Concussive Head Strikes on Subsequent Cognitive Performance,U.S. Air Force 59th Medical Wing Science and Technology Chief Scientist's Office,http://dx.doi.org/10.13039/100006831,,,
"Johnson,R.",Timothy R.,Johnson,0000-0001-8700-7296,,,,,,
"Johnson,R.",R Stafford,Johnson,0000-0001-7601-5039,,,,,,
"Johnson,R.",Mark R,Johnson,0000-0003-4622-650X,,,,,,
"Johnson,R.",Christine R.,Johnson,0009-0008-4684-5312,,,,,,
"Johnson,R.",Brittany R.,Johnson,0009-0007-1631-1582,,,,,,
"Johnson,R.",Sindhu R.,Johnson,0000-0003-0591-2976,,,,,,
"Johnson,R.",Jack R.,Johnson,0009-0009-1511-8937,,,,,,
"Johnson,R.",Matthew R.,Johnson,0000-0002-3637-9919,,,,,,
"Johnson,R.",Dylan R.,Johnson,0000-0003-0644-2005,,,,,,
"Johnson,R.",R. Jeremy,Johnson,0000-0003-2694-3915,,,,,,
"Johnson,R.",Blake R.,Johnson,0000-0001-6337-7161,,,,,,
"Johnson,R.",R. Paul,Johnson,0000-0002-2600-120X,,,,,,
"Johnson,R.",Karen R.,Johnson,0000-0002-9900-6650,,,,,,
"Johnson,R.",Peter R,Johnson,0000-0002-4697-3882,,,,,,
"Johnson,R.",Dr. Anita R.,Johnson,0009-0008-8831-9927,,,,,,
"Johnson,R.",Timothy R B,Johnson,0000-0002-9399-5945,,,,,,
"Johnson,R.",Paul D. R.,Johnson,0000-0001-9873-7163,,,,,,
"Johnson,R.",Jacquett R,Batson (Johnson),0000-0001-9963-0368,,,,,,
"Johnson,R.",Luke R,Johnson PhD,0000-0002-5088-1788,,,,,,
"Johnson,R.","Nicole, Nicole R., Nicole Ruth",Johnson,0009-0003-6224-5062,,,,,,
"Kalish,S.",Sue Ann S.,Kalish,0000-0002-9677-0602,,,,,,
"Laczek-Johnson,C.",C. Tyler,Johnson,0000-0001-7632-5184,,,,,,
"Laczek-Johnson,C.",C. Daniel,Johnson,0000-0003-1277-900X,,,,,,
"Laczek-Johnson,C.",Christian C.,Johnson,0000-0001-7435-0909,,,,,,
"Laczek-Johnson,C.",Sarah C.,Johnson,0000-0002-2032-6425,,,,,,
